,State_FIPS10,County_FIPS10,ZCTA5,Total_Pop,Hispanic_Total,Non_Hispanic_Total,NH_White_alone,NH_Black_alone,NH_AIAN_alone,NH_API_alone,NH_Other_alone,NH_Mult_Total,NH_White_Other,NH_Black_Other,NH_AIAN_Other,NH_Asian_HPI,NH_API_Other,NH_Asian_HPI_Other
13432,,,41621,249,1,248,236,2,1,6,0,3,0,0,0,0,0,0
13433,,,41622,191,0,191,191,0,0,0,0,0,0,0,0,0,0,0
13434,,,41630,980,0,980,970,0,4,1,0,5,0,0,2,0,0,0
13435,,,41631,819,3,816,811,1,0,2,0,2,0,0,0,0,0,0
13436,,,41632,453,1,452,451,0,0,0,0,1,0,0,0,0,0,0
13437,,,41635,2358,11,2347,2325,8,1,5,0,8,0,0,0,0,0,0
13438,,,41636,737,0,737,730,1,5,0,0,1,0,0,0,0,0,0
13439,,,41640,995,2,993,987,3,1,0,0,2,1,0,0,0,0,0
13440,,,41642,533,4,529,521,2,0,2,0,4,2,0,0,0,0,0
13441,,,41643,166,1,165,161,4,0,0,0,0,0,0,0,0,0,0
13442,,,41645,940,3,937,928,4,0,2,0,3,1,0,0,0,0,0
13443,,,41647,1329,1,1328,1317,5,1,0,0,5,0,0,0,0,0,0
13444,,,41649,2060,3,2057,2028,1,3,9,0,16,1,0,0,0,0,0
13445,,,41650,399,0,399,398,0,0,0,0,1,0,0,0,0,0,0
13446,,,41653,9074,73,9001,8814,110,6,19,1,51,1,0,0,0,0,0
13447,,,41655,678,2,676,672,0,4,0,0,0,0,0,0,0,0,0
13448,,,41659,410,1,409,404,1,0,4,0,0,0,0,0,0,0,0
13449,,,41660,619,1,618,613,0,1,1,0,3,0,0,0,0,0,0
13450,,,41663,288,0,288,264,14,0,0,0,10,0,0,0,0,0,0
13451,,,41666,715,1,714,711,0,0,0,0,3,1,0,0,0,0,0
13452,,,41667,517,2,515,514,0,0,1,0,0,0,0,0,0,0,0
13453,,,41669,724,1,723,631,92,0,0,0,0,0,0,0,0,0,0
13454,,,41701,13542,52,13490,12957,304,22,111,1,95,4,0,0,0,1,0
13455,,,41712,292,0,292,290,2,0,0,0,0,0,0,0,0,0,0
13456,,,41713,41,1,40,39,0,0,0,0,1,0,0,0,0,0,0
13457,,,41714,329,0,329,329,0,0,0,0,0,0,0,0,0,0,0
13458,,,41719,833,2,831,820,8,0,1,0,2,0,0,0,0,0,0
13459,,,41721,592,2,590,588,0,0,0,0,2,0,0,0,0,0,0
13460,,,41722,1308,13,1295,1271,19,2,0,0,3,0,0,0,0,0,0
13461,,,41723,1123,9,1114,1110,2,0,0,0,2,1,0,0,0,0,0
13462,,,41725,133,0,133,133,0,0,0,0,0,0,0,0,0,0,0
13463,,,41727,489,0,489,485,1,3,0,0,0,0,0,0,0,0,0
13464,,,41729,177,12,165,165,0,0,0,0,0,0,0,0,0,0,0
13465,,,41731,826,0,826,822,0,0,0,0,4,0,0,0,0,0,0
13466,,,41735,219,0,219,217,0,0,0,0,2,0,0,0,0,0,0
13467,,,41739,141,0,141,141,0,0,0,0,0,0,0,0,0,0,0
13468,,,41740,654,2,652,651,1,0,0,0,0,0,0,0,0,0,0
13469,,,41745,160,0,160,160,0,0,0,0,0,0,0,0,0,0,0
13470,,,41746,635,2,633,628,2,0,1,0,2,0,0,0,0,0,0
13471,,,41749,2872,12,2860,2826,9,6,8,0,11,0,0,0,0,0,0
13472,,,41751,236,2,234,231,0,0,0,0,3,0,0,0,0,0,0
13473,,,41754,347,4,343,336,3,3,0,0,1,0,0,0,0,0,0
13474,,,41759,316,1,315,312,1,0,0,0,2,0,0,0,0,0,0
13475,,,41760,30,0,30,30,0,0,0,0,0,0,0,0,0,0,0
13476,,,41762,87,0,87,85,0,0,2,0,0,0,0,0,0,0,0
13477,,,41763,463,1,462,453,0,1,5,0,3,1,0,0,0,0,0
13478,,,41764,611,0,611,608,0,0,0,0,3,0,0,0,0,0,0
13479,,,41766,102,0,102,101,0,0,0,0,1,0,0,0,0,0,0
13480,,,41772,232,3,229,228,1,0,0,0,0,0,0,0,0,0,0
13481,,,41773,971,5,966,952,3,1,2,0,8,0,0,0,0,0,0
13482,,,41774,2132,11,2121,2099,2,1,2,0,17,1,0,0,0,0,0
13483,,,41775,94,0,94,94,0,0,0,0,0,0,0,0,0,0,0
13484,,,41776,1152,6,1146,1132,1,1,2,0,10,0,0,0,0,0,0
13485,,,41777,726,3,723,708,0,0,0,2,13,0,0,0,0,0,0
13486,,,41804,559,1,558,557,0,1,0,0,0,0,0,0,0,0,0
13487,,,41810,407,0,407,406,0,1,0,0,0,0,0,0,0,0,0
13488,,,41812,188,0,188,187,0,0,0,0,1,0,0,0,0,0,0
13489,,,41815,595,2,593,593,0,0,0,0,0,0,0,0,0,0,0
13490,,,41817,199,0,199,197,0,2,0,0,0,0,0,0,0,0,0
13491,,,41819,317,5,312,307,0,4,0,0,1,0,0,0,0,0,0
13492,,,41821,430,2,428,426,1,0,0,0,1,0,0,0,0,0,0
13493,,,41822,1967,8,1959,1939,1,0,2,0,17,0,0,0,0,0,0
13494,,,41824,834,3,831,829,0,0,0,0,2,0,0,0,0,0,0
13495,,,41825,429,0,429,422,0,1,0,0,6,0,0,0,0,0,0
13496,,,41826,831,2,829,829,0,0,0,0,0,0,0,0,0,0,0
13497,,,41828,628,1,627,625,0,0,0,0,2,0,0,0,0,0,0
13498,,,41831,658,3,655,650,2,0,0,0,3,0,0,0,0,0,0
13499,,,41832,334,5,329,329,0,0,0,0,0,0,0,0,0,0,0
13500,,,41833,252,0,252,251,1,0,0,0,0,0,0,0,0,0,0
13501,,,41834,504,9,495,490,4,0,1,0,0,0,0,0,0,0,0
13502,,,41835,626,1,625,608,12,0,0,0,5,0,0,0,0,0,0
13503,,,41836,616,1,615,610,0,0,0,0,5,0,0,0,0,0,0
13504,,,41837,957,13,944,941,1,0,0,0,2,0,0,0,0,0,0
13505,,,41838,427,4,423,420,1,0,0,0,2,0,0,0,0,0,0
13506,,,41839,938,1,937,931,1,0,1,2,2,0,0,0,0,0,0
13507,,,41840,862,2,860,841,13,4,0,0,2,0,0,0,0,0,0
13508,,,41843,756,4,752,750,1,0,0,0,1,0,0,0,0,0,0
13509,,,41844,1158,6,1152,1133,9,0,5,0,5,0,0,0,0,0,0
13510,,,41845,226,0,226,225,0,0,0,0,1,0,0,0,0,0,0
13511,,,41847,469,1,468,416,45,1,0,0,6,0,0,0,0,0,0
13512,,,41848,52,0,52,51,0,0,0,0,1,0,0,0,0,0,0
13513,,,41849,141,1,140,138,1,0,1,0,0,0,0,0,0,0,0
13514,,,41855,537,1,536,536,0,0,0,0,0,0,0,0,0,0,0
13515,,,41858,6287,29,6258,6175,17,5,26,2,33,1,0,0,0,0,0
13516,,,41859,290,1,289,287,0,0,0,0,2,0,0,0,0,0,0
13517,,,41861,88,0,88,86,0,0,0,0,2,0,0,0,0,0,0
13518,,,41862,723,4,719,717,0,1,0,0,1,0,0,0,0,0,0
13519,,,42001,21706,348,21358,18244,2662,34,207,3,208,0,0,0,0,2,0
13520,,,42003,23065,425,22640,19986,2211,60,156,8,219,8,1,0,2,1,0
13521,,,42020,1717,20,1697,1647,22,8,7,1,12,1,0,0,0,0,0
13522,,,42021,1149,16,1133,1111,13,4,0,0,5,0,0,0,0,0,0
13523,,,42022,83,0,83,80,3,0,0,0,0,0,0,0,0,0,0
13524,,,42023,1919,21,1898,1860,12,4,5,1,16,0,0,0,0,0,0
13525,,,42024,1147,9,1138,1096,23,1,4,0,14,0,0,0,0,0,0
13526,,,42025,15284,155,15129,14978,24,21,28,3,75,2,0,0,0,0,0
13527,,,42027,1756,25,1731,1696,14,8,2,2,9,0,0,0,0,0,0
13528,,,42028,498,4,494,487,1,2,0,0,4,0,0,0,0,0,0
13529,,,42029,4958,38,4920,4839,8,13,22,1,37,1,0,0,0,0,0
13530,,,42031,2672,21,2651,2331,292,10,5,0,13,0,0,0,0,0,0
13531,,,42032,142,2,140,106,31,1,0,0,2,0,0,0,0,0,0
13532,,,42035,789,15,774,756,1,7,8,1,1,0,0,0,0,0,0
13533,,,42036,905,6,899,889,2,1,4,0,3,0,0,0,0,0,0
13534,,,42037,28,0,28,27,0,0,0,0,1,0,0,0,0,0,0
13535,,,42038,4527,33,4494,4081,370,4,10,6,23,1,0,0,1,0,0
13536,,,42039,1332,7,1325,1314,3,2,2,0,4,0,0,0,0,0,0
13537,,,42040,829,6,823,818,2,0,2,0,1,0,0,0,0,0,0
13538,,,42041,3689,26,3663,3035,550,12,38,0,28,0,0,0,0,0,0
13539,,,42044,2840,29,2811,2767,5,2,8,0,29,0,0,0,0,0,0
13540,,,42045,1712,23,1689,1666,1,5,1,0,16,0,0,0,0,0,0
13541,,,42047,152,0,152,152,0,0,0,0,0,0,0,0,0,0,0
13542,,,42048,1614,10,1604,1586,3,3,4,0,8,0,0,0,1,0,0
13543,,,42049,1154,18,1136,1101,20,2,6,0,7,0,0,0,0,0,0
13544,,,42050,2616,11,2605,1934,649,5,1,1,15,1,0,0,0,0,0
13545,,,42051,2137,45,2092,2055,18,2,4,0,13,0,0,0,0,0,0
13546,,,42053,3785,44,3741,3654,33,6,14,0,34,1,0,0,0,1,0
13547,,,42054,727,19,708,690,4,1,0,1,12,0,0,0,0,0,0
13548,,,42055,2187,11,2176,2118,29,6,10,0,13,0,0,0,0,0,0
13549,,,42056,1535,8,1527,1398,103,4,3,0,19,1,0,0,0,0,0
13550,,,42058,1799,16,1783,1760,3,3,8,0,9,0,0,0,0,0,0
13551,,,42060,91,0,91,90,0,0,0,0,1,0,0,0,0,0,0
13552,,,42061,43,0,43,43,0,0,0,0,0,0,0,0,0,0,0
13553,,,42064,6489,28,6461,6318,65,21,12,4,41,3,0,0,0,0,0
13554,,,42066,17492,1075,16417,15098,1086,32,60,8,133,3,0,1,1,2,0
13555,,,42069,844,16,828,814,4,3,2,0,5,0,0,0,0,0,0
13556,,,42071,24679,524,24155,22280,1036,38,562,14,225,7,0,3,1,8,0
13557,,,42076,1008,11,997,972,1,4,1,0,19,0,0,0,1,0,0
13558,,,42078,1507,15,1492,1466,7,7,1,0,11,0,0,0,0,0,0
13559,,,42079,1101,13,1088,1062,5,4,8,1,8,0,0,0,0,0,0
13560,,,42081,1731,16,1715,1693,2,6,0,2,12,1,0,0,0,0,0
13561,,,42082,1440,9,1431,1413,2,4,3,2,7,0,0,0,0,0,0
13562,,,42083,353,0,353,349,0,0,0,0,4,0,0,0,0,0,0
