,name,geo_id_raw,ZCTA5,State_FIPS20,County_FIPS20,Total_Pop,Hispanic_Total,Non_Hispanic_Total,NH_White_alone,NH_Black_alone,NH_AIAN_alone,NH_API_alone,NH_Other_alone,NH_Mult_Total,NH_White_Other,NH_Black_Other,NH_AIAN_Other,NH_Asian_HPI,NH_Asian_HPI_Other,NH_API_Other
15456,ZCTA5 46511,860Z200US46511,46511,,,3189,81,3108,2928,29,9,25.0,17,100,25,1,0,0,0,2.0
15457,ZCTA5 46513,860Z200US46513,46513,,,45,7,38,38,0,0,0.0,0,0,0,0,0,0,0,0.0
15458,ZCTA5 46514,860Z200US46514,46514,,,32129,3675,28454,24608,1775,94,571.0,111,1295,234,6,0,4,0,1.0
15459,ZCTA5 46516,860Z200US46516,46516,,,24138,5641,18497,14156,3109,47,255.0,108,822,186,14,0,2,0,0.0
15460,ZCTA5 46517,860Z200US46517,46517,,,17446,4345,13101,10731,1575,39,158.0,45,553,144,3,0,1,0,4.0
15461,ZCTA5 46524,860Z200US46524,46524,,,1669,51,1618,1573,5,4,6.0,5,25,10,0,0,0,0,0.0
15462,ZCTA5 46526,860Z200US46526,46526,,,24502,5502,19000,17583,433,15,370.0,75,524,98,6,0,5,0,3.0
15463,ZCTA5 46528,860Z200US46528,46528,,,19060,3447,15613,14644,264,39,202.0,37,427,85,8,0,2,0,0.0
15464,ZCTA5 46530,860Z200US46530,46530,,,23657,795,22862,19860,744,33,1469.0,96,660,179,0,0,1,0,2.0
15465,ZCTA5 46531,860Z200US46531,46531,,,1090,11,1079,1045,1,4,2.0,0,27,4,0,0,0,0,0.0
15466,ZCTA5 46532,860Z200US46532,46532,,,1350,57,1293,1219,13,3,4.0,3,51,14,0,0,0,0,0.0
15467,ZCTA5 46534,860Z200US46534,46534,,,8781,298,8483,8135,16,30,13.0,13,276,100,3,0,0,1,0.0
15468,ZCTA5 46536,860Z200US46536,46536,,,2515,77,2438,2310,25,5,5.0,7,86,30,0,0,0,0,0.0
15469,ZCTA5 46537,860Z200US46537,46537,,,359,21,338,329,2,2,0.0,1,4,1,0,0,0,0,0.0
15470,ZCTA5 46538,860Z200US46538,46538,,,3202,135,3067,2981,7,4,17.0,12,46,20,0,0,0,0,0.0
15471,ZCTA5 46539,860Z200US46539,46539,,,1707,69,1638,1581,2,4,9.0,1,41,6,0,0,0,0,0.0
15472,ZCTA5 46540,860Z200US46540,46540,,,8606,201,8405,8115,31,11,49.0,21,178,32,1,0,4,0,0.0
15473,ZCTA5 46542,860Z200US46542,46542,,,3268,304,2964,2856,17,15,8.0,0,68,20,0,0,0,0,0.0
15474,ZCTA5 46543,860Z200US46543,46543,,,2558,93,2465,2429,4,1,1.0,5,25,3,0,0,1,0,0.0
15475,ZCTA5 46544,860Z200US46544,46544,,,24298,997,23301,20573,1306,87,275.0,68,992,224,12,0,1,0,1.0
15476,ZCTA5 46545,860Z200US46545,46545,,,21132,1166,19966,16027,2048,82,858.0,70,881,173,14,2,2,0,0.0
15477,ZCTA5 46550,860Z200US46550,46550,,,8845,426,8419,8184,37,15,28.0,6,149,28,3,0,1,0,1.0
15478,ZCTA5 46552,860Z200US46552,46552,,,5040,138,4902,4652,34,5,12.0,7,192,80,2,0,0,0,0.0
15479,ZCTA5 46553,860Z200US46553,46553,,,2749,153,2596,2534,9,5,11.0,2,35,12,0,0,0,0,0.0
15480,ZCTA5 46554,860Z200US46554,46554,,,3353,98,3255,3106,5,8,17.0,12,107,22,1,0,1,0,0.0
15481,ZCTA5 46555,860Z200US46555,46555,,,2190,40,2150,2052,1,3,15.0,5,74,17,1,0,0,0,0.0
15482,ZCTA5 46556,860Z200US46556,46556,,,8815,865,7950,6582,357,31,622.0,35,323,2,0,0,0,0,0.0
15483,ZCTA5 46561,860Z200US46561,46561,,,10257,363,9894,9029,273,26,177.0,13,376,83,5,0,0,0,7.0
15484,ZCTA5 46562,860Z200US46562,46562,,,3642,184,3458,3262,14,15,21.0,7,139,44,0,0,0,0,0.0
15485,ZCTA5 46563,860Z200US46563,46563,,,17390,2012,15378,14706,90,25,115.0,22,420,120,2,0,3,0,0.0
15486,ZCTA5 46565,860Z200US46565,46565,,,5804,111,5693,5607,8,1,15.0,7,55,11,0,0,0,0,0.0
15487,ZCTA5 46567,860Z200US46567,46567,,,7621,285,7336,7045,29,14,43.0,10,195,55,3,0,1,0,0.0
15488,ZCTA5 46570,860Z200US46570,46570,,,826,18,808,776,1,3,3.0,4,21,1,0,0,0,0,0.0
15489,ZCTA5 46571,860Z200US46571,46571,,,3682,66,3616,3557,3,1,12.0,4,39,7,2,0,0,0,0.0
15490,ZCTA5 46572,860Z200US46572,46572,,,91,5,86,79,0,0,0.0,0,7,6,0,0,0,0,0.0
15491,ZCTA5 46573,860Z200US46573,46573,,,2761,72,2689,2577,26,2,23.0,5,56,12,1,0,0,0,1.0
15492,ZCTA5 46574,860Z200US46574,46574,,,6395,173,6222,5920,20,21,17.0,7,237,73,2,0,0,0,0.0
15493,ZCTA5 46580,860Z200US46580,46580,,,17073,1860,15213,14122,218,34,358.0,50,431,87,3,0,1,0,0.0
15494,ZCTA5 46582,860Z200US46582,46582,,,10687,1251,9436,8529,118,8,530.0,39,212,42,4,0,3,0,0.0
15495,ZCTA5 46590,860Z200US46590,46590,,,4057,299,3758,3538,63,11,42.0,6,98,13,2,0,0,0,0.0
15496,ZCTA5 46595,860Z200US46595,46595,,,80,0,80,74,1,0,0.0,0,5,0,0,0,0,0,0.0
15497,ZCTA5 46601,860Z200US46601,46601,,,4488,416,4072,2029,1808,13,37.0,21,164,19,5,0,1,0,0.0
15498,ZCTA5 46613,860Z200US46613,46613,,,7961,1818,6143,3779,1827,20,70.0,38,409,55,18,0,0,0,1.0
15499,ZCTA5 46614,860Z200US46614,46614,,,23478,1507,21971,18695,2145,45,257.0,115,714,181,7,0,2,0,1.0
15500,ZCTA5 46615,860Z200US46615,46615,,,11234,815,10419,7752,1775,50,234.0,52,556,89,17,1,2,0,0.0
15501,ZCTA5 46616,860Z200US46616,46616,,,4451,390,4061,2666,1069,12,53.0,21,240,47,2,0,0,0,1.0
15502,ZCTA5 46617,860Z200US46617,46617,,,7966,554,7412,5633,1098,11,319.0,46,305,71,3,0,3,0,0.0
15503,ZCTA5 46619,860Z200US46619,46619,,,14739,4337,10402,6770,3022,48,96.0,46,420,77,8,1,2,0,1.0
15504,ZCTA5 46624,860Z200US46624,46624,,,37,0,37,36,0,0,0.0,0,1,0,0,0,0,0,0.0
15505,ZCTA5 46628,860Z200US46628,46628,,,19976,1727,18249,11294,5811,60,284.0,84,716,106,25,1,3,0,3.0
15506,ZCTA5 46635,860Z200US46635,46635,,,5176,253,4923,4083,474,4,154.0,25,183,31,3,1,0,0,1.0
15507,ZCTA5 46637,860Z200US46637,46637,,,13035,685,12350,9980,1197,54,541.0,117,461,98,3,0,0,0,0.0
15508,ZCTA5 46701,860Z200US46701,46701,,,5976,139,5837,5589,41,13,17.0,19,158,45,0,1,1,0,0.0
15509,ZCTA5 46702,860Z200US46702,46702,,,1662,37,1625,1553,3,6,2.0,0,61,3,0,0,0,0,0.0
15510,ZCTA5 46703,860Z200US46703,46703,,,15115,644,14471,13705,154,30,126.0,46,410,92,0,0,1,0,0.0
15511,ZCTA5 46704,860Z200US46704,46704,,,95,0,95,85,1,1,1.0,0,7,0,0,0,0,0,0.0
15512,ZCTA5 46705,860Z200US46705,46705,,,1279,35,1244,1176,11,4,4.0,0,49,19,0,0,0,0,0.0
15513,ZCTA5 46706,860Z200US46706,46706,,,15399,353,15046,14444,64,19,123.0,25,371,81,3,0,6,0,0.0
15514,ZCTA5 46710,860Z200US46710,46710,,,3509,62,3447,3308,13,10,11.0,13,92,29,0,0,0,0,0.0
15515,ZCTA5 46711,860Z200US46711,46711,,,5254,154,5100,4975,1,6,28.0,12,78,15,0,0,0,0,0.0
